############################################################
#
# Nuclide : Pb204
#
#
# 1D-data stored in GroupDataSet
#
#E_up     total     (n,2n)    capture   mu        elastic   inelastic 
4.307e+03 1.147e+01 0.000e+00 1.665e-01 4.775e-03 1.130e+01 0.000e+00 
3.355e+03 1.070e+01 0.000e+00 3.898e-03 4.417e-03 1.070e+01 0.000e+00 
2.613e+03 1.072e+01 0.000e+00 7.763e-05 4.128e-03 1.072e+01 0.000e+00 
2.035e+03 1.074e+01 0.000e+00 8.596e-05 3.904e-03 1.074e+01 0.000e+00 
1.585e+03 1.076e+01 0.000e+00 9.916e-05 3.729e-03 1.076e+01 0.000e+00 
1.234e+03 1.077e+01 0.000e+00 1.151e-04 3.593e-03 1.077e+01 0.000e+00 
9.611e+02 1.078e+01 0.000e+00 1.332e-04 3.509e-03 1.078e+01 0.000e+00 
7.485e+02 1.079e+01 0.000e+00 1.536e-04 3.455e-03 1.079e+01 0.000e+00 
5.829e+02 1.080e+01 0.000e+00 1.766e-04 3.413e-03 1.080e+01 0.000e+00 
4.540e+02 1.081e+01 0.000e+00 2.022e-04 3.380e-03 1.081e+01 0.000e+00 
3.536e+02 1.081e+01 0.000e+00 2.313e-04 3.355e-03 1.081e+01 0.000e+00 
2.754e+02 1.081e+01 0.000e+00 2.641e-04 3.335e-03 1.081e+01 0.000e+00 
2.145e+02 1.082e+01 0.000e+00 3.010e-04 3.319e-03 1.082e+01 0.000e+00 
1.670e+02 1.082e+01 0.000e+00 3.427e-04 3.307e-03 1.082e+01 0.000e+00 
1.301e+02 1.082e+01 0.000e+00 3.898e-04 3.298e-03 1.082e+01 0.000e+00 
1.013e+02 1.082e+01 0.000e+00 4.430e-04 3.291e-03 1.082e+01 0.000e+00 
7.889e+01 1.082e+01 0.000e+00 5.030e-04 3.285e-03 1.082e+01 0.000e+00 
6.144e+01 1.082e+01 0.000e+00 5.712e-04 3.280e-03 1.082e+01 0.000e+00 
4.785e+01 1.082e+01 0.000e+00 6.480e-04 3.277e-03 1.082e+01 0.000e+00 
3.727e+01 1.082e+01 0.000e+00 7.352e-04 3.274e-03 1.082e+01 0.000e+00 
2.902e+01 1.082e+01 0.000e+00 8.336e-04 3.272e-03 1.082e+01 0.000e+00 
2.260e+01 1.082e+01 0.000e+00 9.454e-04 3.270e-03 1.082e+01 0.000e+00 
1.760e+01 1.083e+01 0.000e+00 1.072e-03 3.269e-03 1.082e+01 0.000e+00 
1.371e+01 1.083e+01 0.000e+00 1.215e-03 3.268e-03 1.082e+01 0.000e+00 
1.068e+01 1.083e+01 0.000e+00 1.377e-03 3.267e-03 1.082e+01 0.000e+00 
8.315e+00 1.083e+01 0.000e+00 1.561e-03 3.267e-03 1.082e+01 0.000e+00 
6.476e+00 1.083e+01 0.000e+00 1.769e-03 3.266e-03 1.082e+01 0.000e+00 
5.043e+00 1.083e+01 0.000e+00 2.005e-03 3.266e-03 1.082e+01 0.000e+00 
